user-email,subject-code,software-list,DateTime
user0@unimelb.edu.com,SUBJ1213,CAM Studio,2023-02-11 10:59:54
user1@unimelb.edu.com,SUBJ1619,"HEC-RAS, python3-photutils, Adobe After Effects",2023-01-25 10:59:54
user2@unimelb.edu.com,SUBJ1923,"Ableton Live Intro, gnuplot-mode, root, CylancePROTECT",2023-06-08 10:59:54
user3@unimelb.edu.com,SUBJ1032,ChemDraw,2023-02-17 10:59:54
user4@unimelb.edu.com,SUBJ8249,"Agisoft Metashape Professional, topsOrtho",2022-10-20 10:59:54
user5@unimelb.edu.com,SUBJ9081,"Comic Life, Microsoft Word, LabChart 8, Preview, SOLIDWORKS Electrical 2015 SP5",2023-02-24 10:59:54
user6@unimelb.edu.com,SUBJ7395,"ArcGIS CityEngine, MakerBot Print",2023-07-08 10:59:54
user7@unimelb.edu.com,SUBJ2829,"DVD Player, ANSYS Discovery, BiologicEditor",2023-07-14 10:59:54
user8@unimelb.edu.com,SUBJ2954,Windows Driver Package - mbed (mbedComposite) USB  (08/24/2009 1.0.0.0),2022-12-31 10:59:54
user9@unimelb.edu.com,SUBJ7814,"Aspen Energy Analyzer, Weather Converter for EnergyPlus / ESP(r)",2023-03-26 10:59:54
user10@unimelb.edu.com,SUBJ9841,"Avid Pro Tools, Navisworks",2023-07-26 10:59:54
user11@unimelb.edu.com,SUBJ2741,VPIphotonics Design Suite,2022-11-05 10:59:54
user12@unimelb.edu.com,SUBJ2975,"Storyboarder, 2Calculate",2023-07-21 10:59:54
user13@unimelb.edu.com,SUBJ6042,"MediaHuman Audio Converter, EViews 11",2023-05-31 10:59:54
user14@unimelb.edu.com,SUBJ4545,Fetch,2022-10-30 10:59:54
user15@unimelb.edu.com,SUBJ5757,"2Animate, VPIphotonics RSS News Aggregator",2023-05-06 10:59:54
user16@unimelb.edu.com,SUBJ3594,"TVPaint Animation 11 Pro, Avid Media Composer, RenderDoc, Blackmagic DaVinci Resolve",2022-10-27 10:59:54
user17@unimelb.edu.com,SUBJ5123,"PyMOL, ANSYS Electromagnetics Suite  2020 R2, Scenarist",2023-06-26 10:59:54
user18@unimelb.edu.com,SUBJ1848,"VI Package Manager Runtime Enginer, Aspen Properties V9, Zone Budget",2023-01-31 10:59:54
user19@unimelb.edu.com,SUBJ3130,"ABB RobotStudio, GIMP, Redcine X Pro, BiologicEditor",2022-12-07 10:59:54
user20@unimelb.edu.com,SUBJ6119,"Microsoft Excel, MediaHuman Audio Converter",2023-06-05 10:59:54
user21@unimelb.edu.com,SUBJ2973,"Avid Sibelius, Adobe Reader, Anaconda",2023-03-12 10:59:54
user22@unimelb.edu.com,SUBJ7555,"Notepad++, LabChart Reader, Pro Tools",2023-01-26 10:59:54
user23@unimelb.edu.com,SUBJ8449,"Boot Runner, TVPaint Animation 11 Pro",2023-02-17 10:59:54
user24@unimelb.edu.com,SUBJ4944,"Scenarist, Stata SE, iPerf3, Motion",2023-01-01 10:59:54
user25@unimelb.edu.com,SUBJ7834,"Snaff, Circuitscape 4.0.5, Steam, Ortelia Curator",2023-01-06 10:59:54
user26@unimelb.edu.com,SUBJ5509,Biopac AcqKnowledge,2023-02-05 10:59:54
user27@unimelb.edu.com,SUBJ8917,"FileMaker Pro, Dilutions Tutorial, Avid Sibelius, VitalSource Bookshelf, Adobe Flash",2022-10-07 10:59:54
user28@unimelb.edu.com,SUBJ5610,"Autodesk Inventor, GarageBand, Gravity and Orbits",2023-09-05 10:59:54
user29@unimelb.edu.com,SUBJ9075,Live,2023-01-15 10:59:54
user30@unimelb.edu.com,SUBJ9434,Radiance,2023-05-23 10:59:54
user31@unimelb.edu.com,SUBJ5812,"Adobe InCopy, GAUSS 17 (64-bit), Mixcraft 5, OBS Studio, python3",2023-04-04 10:59:54
user32@unimelb.edu.com,SUBJ7816,"ProScope HR, Adobe InCopy, GAUSS 17 (64-bit), Boot Runner",2022-11-29 10:59:54
user33@unimelb.edu.com,SUBJ7041,"Igor Pro, WebMO, ENVI LiDAR, MLwiN 2.24, Snaff",2023-05-22 10:59:54
user34@unimelb.edu.com,SUBJ5563,"Sigil, SketchUp, Artemis, GIMP",2022-12-02 10:59:54
user35@unimelb.edu.com,SUBJ2229,Stata,2022-12-05 10:59:54
user36@unimelb.edu.com,SUBJ4688,"LabChart Reader, Blackmagic DaVinci Resolve, iraf-noao, Final Cut Pro",2023-03-11 10:59:54
user37@unimelb.edu.com,SUBJ5760,"ZBrush, Agisoft Metashape Professional, Java(TM) Platform SE binary",2022-11-20 10:59:54
user38@unimelb.edu.com,SUBJ9928,balenaEtcher 1.5.116,2022-11-29 10:59:54
user39@unimelb.edu.com,SUBJ7050,Anaconda,2023-03-08 10:59:54
user40@unimelb.edu.com,SUBJ6185,"pygame, Aspen Properties V9, Adobe Lightroom, jModelTest, 2Connect",2023-05-09 10:59:54
user41@unimelb.edu.com,SUBJ5371,"jModelTest, Final Cut Pro, 2Simple Music Toolkit 1.0.90",2022-12-27 10:59:54
user42@unimelb.edu.com,SUBJ7934,"NVivo, sextractor, r-base, Processing",2023-04-23 10:59:54
user43@unimelb.edu.com,SUBJ3812,"BBEdit, root, pygame, saoimage-ds9 (saods9)",2023-03-14 10:59:54
user44@unimelb.edu.com,SUBJ5621,MATLAB,2023-06-22 10:59:54
user45@unimelb.edu.com,SUBJ5141,"IrfanView 64-bit, Unity, Mesquite, Stellarium, rstudio",2023-02-23 10:59:54
user46@unimelb.edu.com,SUBJ2951,"Agilent N5980A, Adobe Media Encoder, Dassault Systemes Software VC11 Prerequisites x86-x64",2022-10-23 10:59:54
user47@unimelb.edu.com,SUBJ2485,"Duik Bassel, MATLAB",2022-10-13 10:59:54
user48@unimelb.edu.com,SUBJ5175,PUTM,2023-02-22 10:59:54
user49@unimelb.edu.com,SUBJ1147,7-Zip File Manager,2023-04-21 10:59:54
user50@unimelb.edu.com,SUBJ1531,"ApE, Digilent WaveForms Application, Dassault Systemes SIMULIA Isight 2020, GeoStudio 2007, Avid Sibelius",2023-05-07 10:59:54
